brand, product_name, price
PCYes,Placa de Video VGA PCYes NVIDIA GeForce GT 730 Low Profile 4GB| DDR3| 128 bits| PCI-E 2.0 - PV73012804D3LP,R$ 47047
Gigabyte,Placa de Video VGA Gigabyte NVIDIA GeForce GTX 1050 OC 2GB| GDDR5| 128 Bits - GV-N1050OC-2GD,R$ 92929
ASRock,Placa de Video VGA ASRock AMD Radeon RX 560 Phantom Gaming 4GB| GDDR5| 128 Bits - 90-GA0600-00UANF,R$ 95871
Gigabyte,Placa de Video VGA Gigabyte AMD Radeon RX 550 2GB GDDR5 - GV-RX550D5-2GD,R$ 71753
Evga,Placa de Video VGA EVGA NVIDIA GeForce RTX 2080 XC Ultra Gaming 8GB| GDDR6| 256 bits| PCI-E 3.0 - 08G-P4-2183-KR,R$ 6.88224
Zotac,Placa de Video VGA Zotac NVIDIA GeForce GT 710 2GB DDR3 64Bits - ZT-71302-20L,R$ 31753
XFX,Placa de Video VGA XFX AMD Radeon RX 550 2GB GDDR5 1203Mhz Core DP - RX-550P2SFG5,R$ 73988
Gigabyte,Placa de Video VGA Gigabyte NVIDIA GeForce GT 1030 2GB DDR4 - GV-N1030D4-2GL,R$ 52929
Asus,Placa de Video VGA Asus AMD Radeon RX 570 Gaming 4GB GDDR5 256 Bits - ROG-STRIX-RX570-O4G-GAMING,R$ 1.50576
Galax,Placa de Video VGA Galax NVIDIA GeForce GTX 1050 Exoc 2GB| 128Bits DDR5|HDMI 2.0|DVI-D| DP 1.4 - 50NPH8DVN6EC ,R$ 88224
MSI,Placa de Video VGA MSI NVIDIA GeForce GT 1030 2GD4 LP OC 2GB| DDR4| 64 bits - 912-V809-2826 - ESP,R$ 47047
Gigabyte,Placa de Video VGA Gigabyte NVIDIA GeForce GTX 1060 6GB GDDR5 - GV-N1060D5-6GD (Rev 2.0),R$ 2.21165
Gigabyte,Placa de Video VGA Gigabyte NVIDIA GeForce GTX 1050 OC Low Profile 2GB| GDDR5| 128 Bits - GV-N1050OC-2GL,R$ 88224
Zotac,Placa de Video VGA Zotac NVIDIA GeForce GT 710 Zone Edition PCI-e - ZT-71304-20L,R$ 27047
Gigabyte,Placa de Video VGA Gigabyte NVIDIA GeForce RTX 2070 Gaming OC| 8G| GDDR6| 256 Bits| PCI-E 3.0 - GV-N2070GAMING OC-8GC,R$ 4.29400
Zotac,Placa de Video VGA Zotac NVIDIA GeForce GT 730 Zone Edition 2GB DDR3 64 Bits HDMI PCI-Express 2.0 x16 DVI - ZT-71113-20L,R$ 42341
